Runtime,Rating,Metascore
155 min,8.2,Drama
157 min,6.9,Drama
163 min,7.5,Thriller
105 min,5.7,2009
108 min,7.5,HorrorThriller
116 min,7.6,ComedyDramaRomance
152 min,7.7,2008
107 min,5.6,DramaHorrorMystery
127 min,6.4,DramaHistory
97 min,6.3,CrimeDrama
115 min,7.2,2010
99 min,6.4,ComedyCrime
88 min,5.2,2011
118 min,6.9,Sci-Fi
98 min,4.8,2000
134 min,6.8,Comedy
108 min,5.8,DramaHorrorMystery
120 min,6.4,DramaHorrorMystery
106 min,6.4,ComedyCrime
132 min,7.9,Sci-Fi
90 min,6.3,Drama
157 min,7.8,Sci-Fi
124 min,7.3,DramaHorrorMystery
132 min,9.0,CrimeDrama
164 min,6.9,DramaHorrorMystery
113 min,6.8,Fantasy
108 min,8.1,CrimeDramaThriller
102 min,7.2,CrimeDramaThriller
112 min,7.4,ComedyFantasy
106 min,5.2,Comedy
134 min,6.3,BiographyCrimeDrama
98 min,5.5,ComedyHorror
111 min,1.4,DramaHorrorSci-Fi
85 min,6.6,Horror
125 min,7.2,Drama
94 min,5.4,AnimationComedy
130 min,5.8,ComedyCrime
111 min,6.4,HorrorMysteryThriller
107 min,6.2,CrimeHorrorMystery
93 min,6.2,DramaHorrorMystery
148 min,7.2,CrimeDramaHistory
130 min,1.8,Thriller
78 min,5.9,DramaFantasy
107 min,5.2,BiographyDramaRomance
99 min,,HorrorMystery
86 min,,AnimationComedy
91 min,,CrimeHorror
143 min,,DramaWestern
,,Animation
,,CrimeThriller
,,ThrillerWestern
,,HorrorMysteryThriller
,,Sci-Fi
,,HorrorThriller
,,Crime
